Mod:Item:MetaData, Localized Name
thermalfoundation:tool.hoe_nickel, Никелевая мотыга
thermalfoundation:tool.bow_nickel, Никелевый укрепленный лук
thermalfoundation:tool.fishing_rod_nickel, Никелевая удочка
thermalfoundation:tool.shears_nickel, Никелевые ножницы
thermalfoundation:tool.sickle_nickel, Никелевый серп
thermalfoundation:tool.hammer_nickel, Никелевый молот
thermalfoundation:tool.excavator_nickel, Никелевый заступ
thermalfoundation:tool.shield_nickel, Никелевый щит
thermalfoundation:tool.sword_platinum, Платиновый меч
thermalfoundation:tool.shovel_platinum, Платиновая лопата
thermalfoundation:tool.pickaxe_platinum, Платиновая кирка
thermalfoundation:tool.axe_platinum, Платиновый топор
thermalfoundation:tool.hoe_platinum, Платиновая мотыга
thermalfoundation:tool.bow_platinum, Платиновый укрепленный лук
thermalfoundation:tool.fishing_rod_platinum, Платиновая удочка
thermalfoundation:tool.shears_platinum, Платиновые ножницы
thermalfoundation:tool.sickle_platinum, Платиновый серп
thermalfoundation:tool.hammer_platinum, Платиновый молот
thermalfoundation:tool.excavator_platinum, Платиновый заступ
thermalfoundation:tool.shield_platinum, Платиновый щит
thermalfoundation:tool.sword_steel, Стальной меч
thermalfoundation:tool.shovel_steel, Стальная лопата
thermalfoundation:tool.pickaxe_steel, Стальная кирка
thermalfoundation:tool.axe_steel, Стальной топор
thermalfoundation:tool.hoe_steel, Стальная мотыга
thermalfoundation:tool.bow_steel, Стальной укрепленный лук
thermalfoundation:tool.fishing_rod_steel, Стальная удочка
thermalfoundation:tool.shears_steel, Стальные ножницы
thermalfoundation:tool.sickle_steel, Стальной серп
thermalfoundation:tool.hammer_steel, Стальной молот
thermalfoundation:tool.excavator_steel, Стальной заступ
thermalfoundation:tool.shield_steel, Стальной щит
thermalfoundation:tool.sword_electrum, Электрумовый меч
thermalfoundation:tool.shovel_electrum, Электрумовая лопата
thermalfoundation:tool.pickaxe_electrum, Электрумовая кирка
thermalfoundation:tool.axe_electrum, Электрумовый топор
thermalfoundation:tool.hoe_electrum, Электрумовая мотыга
thermalfoundation:tool.bow_electrum, Электрумовый укрепленный лук
thermalfoundation:tool.fishing_rod_electrum, Электрумовая удочка
thermalfoundation:tool.shears_electrum, Электрумовые ножницы
thermalfoundation:tool.sickle_electrum, Электрумовый серп
thermalfoundation:tool.hammer_electrum, Электрумовый молот
thermalfoundation:tool.excavator_electrum, Электрумовый заступ
thermalfoundation:tool.shield_electrum, Электрумовый щит
thermalfoundation:tool.sword_invar, Инваровый меч
thermalfoundation:tool.shovel_invar, Инваровая лопата
thermalfoundation:tool.pickaxe_invar, Инваровая кирка
thermalfoundation:tool.axe_invar, Инваровый топор
thermalfoundation:tool.hoe_invar, Инваровая мотыга
thermalfoundation:tool.bow_invar, Инваровый укрепленный лук
thermalfoundation:tool.fishing_rod_invar, Инваровая удочка
thermalfoundation:tool.shears_invar, Инваровые ножницы
thermalfoundation:tool.sickle_invar, Инваровый серп
thermalfoundation:tool.hammer_invar, Инваровый молот
thermalfoundation:tool.excavator_invar, Инваровый заступ
thermalfoundation:tool.shield_invar, Инваровый щит
thermalfoundation:tool.sword_bronze, Бронзовый меч
thermalfoundation:tool.shovel_bronze, Бронзовая лопата
thermalfoundation:tool.pickaxe_bronze, Бронзовая кирка
thermalfoundation:tool.axe_bronze, Бронзовый топор
thermalfoundation:tool.hoe_bronze, Бронзовая мотыга
thermalfoundation:tool.bow_bronze, Бронзовый укрепленный лук
thermalfoundation:tool.fishing_rod_bronze, Бронзовая удочка
thermalfoundation:tool.shears_bronze, Бронзовые ножницы
thermalfoundation:tool.sickle_bronze, Бронзовые серп
thermalfoundation:tool.hammer_bronze, Бронзовый молот
thermalfoundation:tool.excavator_bronze, Бронзовый заступ
thermalfoundation:tool.shield_bronze, Бронзовый щит
thermalfoundation:tool.sword_constantan, Константановый меч
thermalfoundation:tool.shovel_constantan, Константановая лопата
thermalfoundation:tool.pickaxe_constantan, Константановая кирка
thermalfoundation:tool.axe_constantan, Константановый топор
thermalfoundation:tool.hoe_constantan, Константановая мотыга
thermalfoundation:tool.bow_constantan, Константановый укрепленный лук
thermalfoundation:tool.fishing_rod_constantan, Константановая удочка
thermalfoundation:tool.shears_constantan, Константановые ножницы
thermalfoundation:tool.sickle_constantan, Константановый серп
thermalfoundation:tool.hammer_constantan, Константановый молот
thermalfoundation:tool.excavator_constantan, Константановый заступ
thermalfoundation:tool.shield_constantan, Константановый щит
thermalfoundation:tool.shears_wood, Деревянные ножницы
thermalfoundation:tool.sickle_wood, Деревянный серп
thermalfoundation:tool.hammer_wood, Деревянный молот
thermalfoundation:tool.excavator_wood, Деревянный заступ
thermalfoundation:tool.bow_stone, Каменный укрепленный лук
thermalfoundation:tool.fishing_rod_stone, Каменная удочка
thermalfoundation:tool.shears_stone, Каменные ножницы
thermalfoundation:tool.sickle_stone, Каменный серп
thermalfoundation:tool.hammer_stone, Каменный молот
thermalfoundation:tool.excavator_stone, Каменный заступ
thermalfoundation:tool.shield_stone, Каменный щит
thermalfoundation:tool.bow_iron, Железный укрепленный лук
thermalfoundation:tool.fishing_rod_iron, Железная удочка
thermalfoundation:tool.sickle_iron, Железный серп
thermalfoundation:tool.hammer_iron, Железный молот
thermalfoundation:tool.excavator_iron, Железный заступ
thermalfoundation:tool.shield_iron, Железный щит
thermalfoundation:tool.bow_diamond, Алмазный укрепленный лук
thermalfoundation:tool.fishing_rod_diamond, Алмазная удочка
thermalfoundation:tool.shears_diamond, Алмазные ножницы
thermalfoundation:tool.sickle_diamond, Алмазный серп
thermalfoundation:tool.hammer_diamond, Алмазный молот
thermalfoundation:tool.excavator_diamond, Алмазный заступ
thermalfoundation:tool.shield_diamond, Алмазный щит
thermalfoundation:tool.bow_gold, Золотой укрепленный лук
thermalfoundation:tool.fishing_rod_gold, Золотая удочка
thermalfoundation:tool.shears_gold, Золотые ножницы
thermalfoundation:tool.sickle_gold, Золотой серп
thermalfoundation:tool.hammer_gold, Золотой молот
thermalfoundation:tool.excavator_gold, Золотой заступ
thermalfoundation:tool.shield_gold, Золотой щит
thermalfoundation:horse_armor_copper, Медная конская броня
thermalfoundation:horse_armor_tin, Оловянная конская броня
thermalfoundation:horse_armor_silver, Серебряная конская броня
thermalfoundation:horse_armor_lead, Свинцовая конская броня
thermalfoundation:horse_armor_aluminum, Алюминиевая конская броня
thermalfoundation:horse_armor_nickel, Никелевая конская броня
thermalfoundation:horse_armor_platinum, Платиновая конская броня
thermalfoundation:horse_armor_steel, Стальная конская броня
thermalfoundation:horse_armor_electrum, Электрумовая конская броня
thermalfoundation:horse_armor_invar, Инваровая конская броня
thermalfoundation:horse_armor_bronze, Бронзовая конская броня
thermalfoundation:horse_armor_constantan, Константановая конская броня
thermalfoundation:fluid_crude_oil, Сырая нефть
thermalfoundation:fluid_redstone, Дестабилизированный красный камень
thermalfoundation:fluid_glowstone, Заряженный светящийся камень
thermalfoundation:fluid_ender, Резонирующий эндериум
thermalfoundation:fluid_pyrotheum, Пылающий пиротеум
thermalfoundation:fluid_cryotheum, Ледяной криотеум
thermalfoundation:fluid_aerotheum, Невесомый аэротеум
thermalfoundation:fluid_petrotheum, Тектонический петротеум
thermalfoundation:fluid_mana, Изначальная мана
draconicevolution:draconium_ore:0, Дракониевая руда
draconicevolution:draconium_ore:1, Дракониевая руда Незера
draconicevolution:draconium_ore:2, Дракониевая руда Эндера
draconicevolution:draconium_block:0, Дракониевый блок
draconicevolution:draconium_block:1, Заряженный дракониевый блок
draconicevolution:draconic_block, Пробужденный дракониевый блок
draconicevolution:infused_obsidian, Заряженный обсидиан
draconicevolution:portal, Портал
draconicevolution:item_dislocation_inhibitor, Dislocation Normalization Field Projector
draconicevolution:generator, Генератор
draconicevolution:grinder, Молотилка
draconicevolution:particle_generator:0, Генератор частиц
draconicevolution:particle_generator:2, Стабилизатор энергетического ядра
draconicevolution:energy_infuser, Энергетический наполнитель
draconicevolution:dislocator_receptacle, Телепортационный приёмник
draconicevolution:dislocator_pedestal, Пьедестал телепортации
draconicevolution:rain_sensor, Датчик дождя
draconicevolution:diss_enchanter, Дизенчантер
draconicevolution:potentiometer, Потенциометр
draconicevolution:entity_detector:0, Детектор существ
draconicevolution:entity_detector:1, Улучшенный детектор существ
draconicevolution:energy_storage_core, Энергетическое ядро
draconicevolution:energy_pylon, Энергетический пилон
draconicevolution:invis_e_core_block, tile.draconicevolution:invis_e_core_block.name
draconicevolution:fusion_crafting_core, Ядро слияния
draconicevolution:crafting_injector:0, Базовый инжектор слияния
draconicevolution:crafting_injector:1, Инжектор слияния Виверны
draconicevolution:crafting_injector:2, Инжектор слияния Дракона
draconicevolution:crafting_injector:3, Инжектор слияния хаоса
draconicevolution:celestial_manipulator, Контроллер погоды
draconicevolution:energy_crystal:0, Базовый энергетический реле-кристалл
draconicevolution:energy_crystal:1, Энергетический реле-кристалл Виверны
draconicevolution:energy_crystal:2, Энергетический реле-кристалл Дракона
draconicevolution:energy_crystal:3, Базовый энергетический кристалл входа/выхода
draconicevolution:energy_crystal:4, Энергетический кристалл входа/выхода Виверны
draconicevolution:energy_crystal:5, Энергетический кристалл входа/выхода Дракона
draconicevolution:energy_crystal:6, Базовый беспроводной энергетический кристалл
draconicevolution:energy_crystal:7, Беспроводной энергетический кристалл Виверны
draconicevolution:energy_crystal:8, Беспроводной энергетический кристалл Дракона
draconicevolution:flow_gate:0, Энергетический ограничитель
draconicevolution:flow_gate:8, Жидкостный ограничитель
draconicevolution:reactor_core, Ядро дракониевого реактора
draconicevolution:reactor_part:0, Рамка стабилизатора реактора
draconicevolution:reactor_part:1, Внутренний ротор стабилизатора реактора
draconicevolution:reactor_part:2, Внешний ротор стабилизатора реактора
draconicevolution:reactor_part:3, Собранный ротор стабилизатора реактора
draconicevolution:reactor_part:4, Фокусирующее кольцо стабилизатора реактора
draconicevolution:reactor_component:0, Стабилизатор реактора
draconicevolution:reactor_component:1, Энергетический инжектор реактора
draconicevolution:draconic_spawner, Стабилизированный спаунер
draconicevolution:draconium_chest, Сундук дракона
draconicevolution:chaos_crystal, Кристалл хаоса
draconicevolution:chaos_shard_atmos, tile.draconicevolution:chaos_shard_atmos.name
draconicevolution:creative_rf_source, Творческий источник RF
draconicevolution:placed_item, tile.draconicevolution:placed_item.name
draconicevolution:draconium_dust, Дракониевая пыль
draconicevolution:draconium_ingot, Дракониевый слиток
draconicevolution:draconic_ingot, Пробужденный дракониевый слиток
draconicevolution:draconic_core, Ядро Дракона
draconicevolution:wyvern_core, Ядро Виверны
draconicevolution:awakened_core, Пробужденное ядро
draconicevolution:chaotic_core, Ядро хаоса
draconicevolution:wyvern_energy_core, Энергетическое ядро Виверны
draconicevolution:draconic_energy_core, Энергетическое ядро Дракона
draconicevolution:dragon_heart, Сердце Дракона
draconicevolution:debugger, item.draconicevolution:debugger.name
draconicevolution:nugget:0, Кусочек дракония
draconicevolution:nugget:1, Кусочек пробужденного дракония
draconicevolution:chaos_shard:0, Осколок хаоса
draconicevolution:chaos_shard:1, Большой осколок Хаоса
draconicevolution:chaos_shard:2, Маленький осколок Хаоса
draconicevolution:chaos_shard:3, Крошечный осколок Хаоса
draconicevolution:draconium_capacitor:0, Флаксовый конденсатор Виверны
draconicevolution:draconium_capacitor:0, Флаксовый конденсатор Виверны
draconicevolution:draconium_capacitor:0, Флаксовый конденсатор Виверны
draconicevolution:draconium_capacitor:1, Флаксовый конденсатор Дракона
draconicevolution:draconium_capacitor:1, Флаксовый конденсатор Дракона
draconicevolution:draconium_capacitor:1, Флаксовый конденсатор Дракона
draconicevolution:draconium_capacitor:2, Творческий флаксовый конденсатор
draconicevolution:wyvern_axe, Топор Виверны
draconicevolution:wyvern_bow, Лук Виверны
draconicevolution:wyvern_pick, Кирка Виверны
draconicevolution:wyvern_shovel, Лопата Виверны
draconicevolution:wyvern_sword, Меч Виверны
draconicevolution:draconic_axe, Топор Дракона
draconicevolution:draconic_bow, Лук Дракона
draconicevolution:draconic_hoe, Мотыга Дракона
draconicevolution:draconic_pick, Кирка Дракона
draconicevolution:draconic_shovel, Лопата Дракона
draconicevolution:draconic_staff_of_power, Посох силы 
draconicevolution:draconic_sword, Меч Дракона
draconicevolution:tool_upgrade:0, Ядро улучшения (Ёмкость RF )
draconicevolution:tool_upgrade:1, Ядро улучшения (Скорость копания)
draconicevolution:tool_upgrade:2, Ядро улучшения (Область копания)
draconicevolution:tool_upgrade:3, Ядро улучшения (Урон)
draconicevolution:tool_upgrade:4, Ядро улучшения (Область атаки)
draconicevolution:tool_upgrade:5, Ядро улучшения (Урон стрелы)
draconicevolution:tool_upgrade:6, Ядро улучшения (Скорость натяжения)
draconicevolution:tool_upgrade:7, Ядро улучшения (Скорость стрелы)
draconicevolution:tool_upgrade:8, Ядро улучшения (Емкость щита)
draconicevolution:tool_upgrade:9, Ядро улучшения (Восстановление щита)
draconicevolution:tool_upgrade:10, Ядро улучшения (Скорость передвижения)
draconicevolution:tool_upgrade:11, Ядро улучшения (Увеличение прыжка)
draconicevolution:dislocator, Телепортер
draconicevolution:dislocator_advanced, Улучшенный телепортер
draconicevolution:dislocator_bound:1, Связывающий телепортер (С точки на точку)
draconicevolution:dislocator_bound:2, Связывающий телепортер (Игрок)
draconicevolution:magnet:0, Телепортационный магнит
draconicevolution:magnet:1, Пробуждённый телепортационный магнит
draconicevolution:crystal_binder, Связыватель кристаллов
draconicevolution:wyvern_helm, Шлем Виверны
draconicevolution:wyvern_chest, Нагрудник Виверны
draconicevolution:wyvern_legs, Поножи Виверны
draconicevolution:wyvern_boots, Ботинки Виверны
draconicevolution:draconic_helm, Шлем Дракона
draconicevolution:draconic_chest, Нагрудник Дракона
draconicevolution:draconic_legs, Поножи Дракона
draconicevolution:draconic_boots, Ботинки Дракона
draconicevolution:info_tablet, Информационный планшет Draconic Evolution
draconicevolution:mob_soul, (Душа)
draconicevolution:creative_exchanger, Творческий заменитель блоков
draconicevolution:ender_energy_manipulator, Манипулятор эндер-энергией
thermalexpansion:machine:0, Редстоуновая печь (Основной)
thermalexpansion:machine:1, Измельчитель (Основной)
thermalexpansion:machine:2, Лесопилка (Основной)
thermalexpansion:machine:3, Индукционная плавильня (Основной)
thermalexpansion:machine:4, Фитогенный светильник (Основной)
thermalexpansion:machine:5, Компактор (Основной)
thermalexpansion:machine:6, Магмовый тигель (Основной)
thermalexpansion:machine:7, Дистилятор (Основной)
thermalexpansion:machine:8, Распределитель жидкостей (Основной)
thermalexpansion:machine:9, Энергетический зарядник (Основной)
thermalexpansion:machine:10, Центробежный разделитель (Основной)
thermalexpansion:machine:11, Последовательный сборщик (Основной)
thermalexpansion:machine:12, Алхимическая зельеварка (Основной)
thermalexpansion:machine:13, Чародейский энсорцеллатор (Основной)
thermalexpansion:machine:14, Ледниковый осадитель (Основной)
thermalexpansion:machine:15, Вулканический пресс (Основной)
thermalexpansion:device:0, Водный накопитель
thermalexpansion:device:1, Аннулятор
thermalexpansion:device:2, Термальный посредник
thermalexpansion:device:3, Древесный выжиматель
thermalexpansion:device:4, Рыболов
thermalexpansion:device:5, Предметный буфер
thermalexpansion:device:6, Жидкостный буфер
thermalexpansion:device:7, Лексический трансмутатор
thermalexpansion:device:8, Проницательный конденсатор
thermalexpansion:device:9, Рассеиватель отваров
thermalexpansion:device:10, Факторизатор
thermalexpansion:device:11, Инкапсулятор существ
thermalexpansion:device:12, Ваккумулятор
thermalexpansion:dynamo:0, Паровой генератор (Основной)
thermalexpansion:dynamo:1, Магмовый генератор (Основной)
thermalexpansion:dynamo:2, Компрессионный генератор (Основной)
thermalexpansion:dynamo:3, Реагентный генератор (Основной)
thermalexpansion:dynamo:4, Истощающий генератор (Основной)
thermalexpansion:dynamo:5, Нумизматический генератор (Основной)
thermalexpansion:cell:0, Энергетическая ячейка (Основной)
thermalexpansion:tank:0, Переносной резервуар (Основной)
thermalexpansion:cache:0, Ящик (Основной)
thermalexpansion:strongbox:0, Сейф (Основной)
thermalexpansion:capacitor:0, Флаксовый конденсатор (основной)
thermalexpansion:capacitor:1, Флаксовый конденсатор (усиленный)
thermalexpansion:capacitor:2, Флаксовый конденсатор (укреплённый)
thermalexpansion:capacitor:3, Флаксовый конденсатор (синаловый)
thermalexpansion:capacitor:4, Флаксовый конденсатор (резонирующий)
thermalexpansion:capacitor:32000, Флаксовый конденсатор (творческий)
thermalexpansion:reservoir:0, Резервуар (основной)
thermalexpansion:reservoir:1, Резервуар (усиленный)
thermalexpansion:reservoir:2, Резервуар (укреплённый)
thermalexpansion:reservoir:3, Резервуар (синаловый)
thermalexpansion:reservoir:4, Резервуар (резонирующий)
thermalexpansion:reservoir:32000, Резервуар (творческий)
thermalexpansion:satchel:0, Сумка (основная)
thermalexpansion:satchel:1, Сумка (усиленная)
thermalexpansion:satchel:2, Сумка (укреплённая)
thermalexpansion:satchel:3, Сумка (синаловая)
thermalexpansion:satchel:4, Сумка (резонирующая)
thermalexpansion:satchel:100, Сумка (пустотная)
thermalexpansion:satchel:32000, Сумка (творческая)
thermalexpansion:frame:0, Рамка механизма
thermalexpansion:frame:64, Рамка устройства
thermalexpansion:frame:128, Рамка энергетической ячейки
thermalexpansion:frame:129, Рамка усиленной энергетической ячейки
thermalexpansion:frame:130, Рамка укреплённой энергетической ячейки (пустая)
thermalexpansion:frame:131, Рамка синаловой энергетической ячейки (пустая)
thermalexpansion:frame:132, Рамка резонирующей энергетической ячейки (пустая)
thermalexpansion:frame:146, Рамка укреплённой энергетической ячейки (полная)
thermalexpansion:frame:147, Рамка синаловой энергетической ячейки (полная)
thermalexpansion:frame:148, Рамка резонирующей энергетической ячейки (полная)
thermalexpansion:augment:128, Расширение: Вспомогательная принимающая катушка
thermalexpansion:augment:129, Расширение: Вспомогательное сито
thermalexpansion:augment:130, Расширение: Камера аннулирования
thermalexpansion:augment:256, Расширение: Тривекционная камера
thermalexpansion:augment:257, Расширение: Флаксовый анодизатор
thermalexpansion:augment:258, Расширение: Пиролитический преобразователь
thermalexpansion:augment:273, Расширение: Тектонический инициатор
thermalexpansion:augment:288, Расширение: Воронка для смолы
thermalexpansion:augment:303, Расширение: Металлургический восстановитель
thermalexpansion:augment:304, Расширение: Пиро-концентратор
thermalexpansion:augment:320, Расширение: Восстановитель питательных веществ
thermalexpansion:augment:323, Расширение: Обогащатель саженцев
thermalexpansion:augment:324, Расширение: Монокультурный цикл
thermalexpansion:augment:336, Расширение: Нумизматический пресс
thermalexpansion:augment:337, Расширение: Механический штамп
thermalexpansion:augment:352, Расширение: Пироконвективная петля
thermalexpansion:augment:368, Расширение: Рефлаксовый столб
thermalexpansion:augment:369, Расширение: Алхимическая реторта
thermalexpansion:augment:400, Расширение: Концентратор связей Флакса
thermalexpansion:augment:401, Расширение: Флаксовый реконструитель
thermalexpansion:augment:402, Расширение: Параболическая флаксовая муфта
thermalexpansion:augment:416, Расширение: Аппарат для предварительной установки
thermalexpansion:augment:432, Расширение: Проверка шаблона
thermalexpansion:augment:433, Расширение: Жидкостное производство
thermalexpansion:augment:448, Расширение: Реагентный восстановитель
thermalexpansion:augment:496, Расширение: Пирокластические инъекции
thermalexpansion:augment:497, Расширение: Осколочное осаждение
thermalexpansion:augment:512, Расширение: Вспомогательная отдающая катушка
thermalexpansion:augment:513, Расширение: Топливный катализатор
thermalexpansion:augment:514, Расширение: Канал отдающей катушки
thermalexpansion:augment:515, Расширение: Ограничитель поля намагничивания
thermalexpansion:augment:576, Расширение: Преобразующий бойлер
thermalexpansion:augment:640, Расширение: Преобразующая турбина
thermalexpansion:augment:656, Расширение: Изэнтропическое водохранилище
thermalexpansion:augment:672, Расширение: Охлаждение с закрытым контуром
thermalexpansion:augment:673, Расширение: Свеча зажигания
thermalexpansion:augment:674, Расширение: Агитационный манифольд
thermalexpansion:augment:688, Расширение: Элементарный катализатор
thermalexpansion:augment:704, Расширение: Дизъюнктивное извлечение
thermalexpansion:augment:720, Расширение: Лапидарная калибровка
thermalexpansion:florb:0, Флюидный шарик (Пусто§r)
thermalexpansion:florb:1, Магматический флюидный шарик (Пусто§r)
thermalexpansion:morb:0, Биошарик (Пусто§r)
thermalexpansion:morb:1, Многоразовый биошарик (Пусто§r)
enderstorage:ender_storage:0, Сундук Края
enderstorage:ender_storage:1, Цистерна Края
enderstorage:ender_pouch, Сумка Края
extrautils2:snowglobe:0, Magical Snow Globe
extrautils2:snowglobe:1, Magical Snow Globe
extrautils2:wateringcan, Watering Can
extrautils2:itemcreativedestructionwand, Creative Destruction Wand
extrautils2:unstableingots:0, Unstable Ingot
extrautils2:unstableingots:1, Stable-'Unstable Nugget'
extrautils2:unstableingots:2, Stable-'Unstable Ingot'
extrautils2:itembuilderswand, Builders Wand
extrautils2:itemdestructionwand, Destruction Wand
extrautils2:itemcreativebuilderswand, Creative Builders Wand
extrautils2:soundmuffler, Sound Muffler
extrautils2:enderlilly, Ender Lilly
extrautils2:decorativesolidwood:0, Magical Planks
extrautils2:decorativesolidwood:1, Magical Wood
extrautils2:decorativesolidwood:2, Diagonal Wood
extrautils2:trashcan, Trash Can
extrautils2:trashcanfluid, Trash Can (Fluid)
extrautils2:trashcanenergy, Trash Can (Energy)
extrautils2:angelblock, Angel Block
extrautils2:passivegenerator:0, Solar Panel
extrautils2:passivegenerator:1, Lunar Panel
extrautils2:passivegenerator:2, Lava Mill
extrautils2:passivegenerator:3, Water Mill
extrautils2:passivegenerator:4, Wind Mill
extrautils2:passivegenerator:5, Fire Mill
extrautils2:passivegenerator:6, Creative Mill
extrautils2:passivegenerator:7, Manual Mill
extrautils2:passivegenerator:8, Dragon Egg Mill
extrautils2:supermobspawner, Resturbed Mob Spawner
extrautils2:cursedearth, Cursed Earth
extrautils2:redstoneclock, Redstone Clock
extrautils2:compressedcobblestone:0, Compressed Cobblestone
extrautils2:compressedcobblestone:1, Double Compressed Cobblestone
extrautils2:compressedcobblestone:2, Triple Compressed Cobblestone
extrautils2:compressedcobblestone:3, Quadruple Compressed Cobblestone
extrautils2:compressedcobblestone:4, Quintuple Compressed Cobblestone
extrautils2:compressedcobblestone:5, Sextuple Compressed Cobblestone
extrautils2:compressedcobblestone:6, Septuple Compressed Cobblestone
extrautils2:compressedcobblestone:7, Octuple Compressed Cobblestone
extrautils2:compresseddirt:0, Compressed Dirt
extrautils2:compresseddirt:1, Double Compressed Dirt
extrautils2:compresseddirt:2, Triple Compressed Dirt
extrautils2:compresseddirt:3, Quadruple Compressed Dirt
extrautils2:compressedsand:0, Compressed Sand
extrautils2:compressedsand:1, Double Compressed Sand
extrautils2:compressedgravel:0, Compressed Gravel
extrautils2:compressedgravel:1, Double Compressed Gravel
extrautils2:compressednetherrack:0, Compressed Netherrack
extrautils2:compressednetherrack:1, Double Compressed Netherrack
extrautils2:compressednetherrack:2, Triple Compressed Netherrack
extrautils2:compressednetherrack:3, Quadruple Compressed Netherrack
extrautils2:compressednetherrack:4, Quintuple Compressed Netherrack
extrautils2:compressednetherrack:5, Sextuple Compressed Netherrack
extrautils2:glasscutter, Glass Cutter
extrautils2:endershard, Ender Shard
extrautils2:redorchid, Red Orchid
extrautils2:sickle_wood, Wooden Sickle
extrautils2:sickle_stone, Stone Sickle
extrautils2:sickle_iron, Iron Sickle
extrautils2:sickle_gold, Golden Sickle
extrautils2:sickle_diamond, Diamond Sickle
extrautils2:poweroverload, Power Overload
extrautils2:resonator, Resonator
extrautils2:suncrystal, Sun Crystal
extrautils2:spotlight, Spotlight
extrautils2:screen, Screen
extrautils2:decorativesolid:0, Border Stone
extrautils2:decorativesolid:1, Crossed Stone
extrautils2:decorativesolid:2, Polished Stone
extrautils2:decorativesolid:3, Stoneburnt
extrautils2:decorativesolid:4, Sandy Glass
extrautils2:decorativesolid:5, Truchet
extrautils2:decorativesolid:6, Blue Quartz
extrautils2:decorativesolid:7, Quartzburnt
extrautils2:decorativesolid:8, Rainbow Stone
extrautils2:ingredients:0, Resonating Redstone Crystal
extrautils2:ingredients:1, Redstone Gear
extrautils2:ingredients:2, Eye of Redstone
extrautils2:ingredients:3, Lunar Reactive Dust
extrautils2:ingredients:4, Red Coal
extrautils2:ingredients:5, Moon Stone
extrautils2:ingredients:6, Upgrade Speed
extrautils2:ingredients:7, Upgrade Stack
extrautils2:ingredients:8, Upgrade Mining
extrautils2:ingredients:9, Upgrade Base
extrautils2:ingredients:10, Drop of Evil
extrautils2:ingredients:11, Demon Ingot
extrautils2:ingredients:12, Enchanted Ingot
extrautils2:ingredients:13, Wireless RF Heating Coil
extrautils2:ingredients:14, Blue Dye
extrautils2:ingredients:15, Upgrade Speed (Magical)
extrautils2:ingredients:16, Upgrade Speed (Ultimate)
extrautils2:ingredients:17, Evil Infused Iron Ingot
extrautils2:goldenlasso:0, Golden Lasso
extrautils2:goldenlasso:1, Cursed Lasso
extrautils2:chickenring:0, Chicken Wing Ring
extrautils2:chickenring:1, Ring of the Flying Squid
extrautils2:angelring:0, Angel Ring
extrautils2:angelring:1, Angel Ring
extrautils2:angelring:2, Angel Ring
extrautils2:angelring:3, Angel Ring
extrautils2:angelring:4, Angel Ring
extrautils2:angelring:5, Angel Ring
extrautils2:powermanager, Power Manager
extrautils2:bagofholding, Bag Of Holding
extrautils2:decorativeglass:0, Thickened Glass
extrautils2:decorativeglass:1, Thickened Glass (Bordered)
extrautils2:decorativeglass:2, Thickened Glass (Patterned)
extrautils2:decorativeglass:3, Dark Glass
extrautils2:decorativeglass:4, Glowing Glass
extrautils2:decorativeglass:5, Redstone Glass
extrautils2:ineffableglass:0, Ethereal Glass
extrautils2:ineffableglass:1, Reverse Ethereal Glass
extrautils2:ineffableglass:2, Ineffable Glass
extrautils2:ineffableglass:3, Dark Ineffable Glass
extrautils2:pipe, Transfer Pipe
extrautils2:playerchest, Player Chest
extrautils2:wrench, Wrench
extrautils2:boomerang, Magical Boomerang
extrautils2:book, Extra Utilities 2 Manual
extrautils2:contract, Contract
extrautils2:chunkloader, Chunk Loading Ward
extrautils2:filter, Filter
extrautils2:filterfluids, Filter Fluids
extrautils2:grocket:0, Transfer Node (Items)
extrautils2:grocket:1, Transfer Filter
extrautils2:grocket:2, Transfer Node (Fluids)
extrautils2:grocket:3, Retrieval Node (Items)
extrautils2:grocket:4, Retrieval Node (Fluids)
extrautils2:grocket:5, Transfer Pipe Filter
extrautils2:grocket:6, Transfer Node (Energy)
extrautils2:indexer, Indexer
extrautils2:indexerremote, Indexer Remote
extrautils2:crafter, Mechanical Crafter
extrautils2:scanner, Scanner
extrautils2:miner, Mechanical Miner
extrautils2:user, Mechanical User
extrautils2:klein:0, Klein Bottle
extrautils2:drum:0, Stone Drum
extrautils2:drum:1, Iron Drum
extrautils2:drum:2, Reinforced Large Drum
extrautils2:drum:3, Demonically Gargantuan Drum
extrautils2:drum:4, Creative Drum
extrautils2:machine:0, Machine Block
extrautils2:machine:0, Furnace
extrautils2:machine:0, Crusher
extrautils2:machine:0, Enchanter
extrautils2:machine:0, Survival Generator
extrautils2:machine:0, Furnace Generator
extrautils2:machine:0, Culinary Generator
extrautils2:machine:0, Magmatic Generator
extrautils2:machine:0, Heated Redstone Generator
extrautils2:machine:0, Ender Generator
extrautils2:machine:0, Potion Generator
extrautils2:machine:0, Pink Generator
extrautils2:machine:0, Overclocked Generator
extrautils2:machine:0, Explosive Generator
extrautils2:machine:0, Netherstar Generator
extrautils2:machine:0, Halitosis Generator
extrautils2:machine:0, Frosty Generator
extrautils2:machine:0, Death Generator
extrautils2:machine:0, Dischantment Generator
extrautils2:machine:0, Slimey Generator
extrautils2:teleporter:0, Overworld Portal
extrautils2:teleporter:1, Deep Dark Portal
extrautils2:powertransmitter, Wireless RF Transmitter
extrautils2:powerbattery, Wireless RF Battery
extrautils2:quarryproxy, Quantum Quarry Actuator
